===== GENETIC ALGORITHM LOG =====
Population size: 12
Generations: 20

Gen 01 | Acc = 0.99398 | Params = {'max_depth': 57, 'min_samples_leaf': 38, 'n_estimators': 94, 'learning_rate': 0.2871894838342592} | NEW BEST
Gen 02 | Acc = 0.99432 | Params = {'max_depth': 57, 'min_samples_leaf': 68, 'n_estimators': 94, 'learning_rate': 0.4193559193549702} | NEW BEST
Gen 03 | Acc = 0.99432 | Params = {'max_depth': 57, 'min_samples_leaf': 68, 'n_estimators': 94, 'learning_rate': 0.4193559193549702} | OK
Gen 04 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | NEW BEST
Gen 05 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 06 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 07 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 08 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 09 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 10 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 11 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 12 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 13 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 14 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 15 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 16 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 17 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 18 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 19 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK
Gen 20 | Acc = 0.99449 | Params = {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427} | OK

===== FINAL RESULT =====
Best Acc: 0.99449
Best Params: {'max_depth': 57, 'min_samples_leaf': 53, 'n_estimators': 71, 'learning_rate': 0.35224474888023427}
